 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
         142460 function calls (138985 primitive calls) in 0.341 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      913    0.001    0.000    0.001    0.000 sre_parse.py:171(append)
      224    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      220    0.001    0.000    0.003    0.000 enum.py:797(__or__)
      995    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       89    0.001    0.000    0.038    0.000 sre_parse.py:844(parse)
      423    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      734    0.001    0.000    0.001    0.000 sre_parse.py:285(tell)
      825    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      201    0.001    0.000    0.001    0.000 sre_parse.py:342(_escape)
       85    0.001    0.000    0.001    0.000 functools.py:44(update_wrapper)
      514    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      224    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
       56    0.001    0.000    0.001    0.000 types.py:211(coroutine)
      727    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
      566    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      260    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      171    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      435    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
      311    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      727    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
       30    0.000    0.000    0.003    0.000 abc.py:132(__new__)
      201    0.000    0.000    0.001    0.000 sre_compile.py:388(_simple)
      793    0.000    0.000    0.001    0.000 sre_parse.py:159(__len__)
      236    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      259    0.000    0.000    0.001    0.000 {built-in method builtins.any}
     1366    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      422    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      972    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      666    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       13    0.000    0.000    0.010    0.001 enum.py:366(_create_)
        7    0.000    0.000    0.375    0.054 __init__.py:1(<module>)
      265    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
       15    0.000    0.000    0.012    0.001 app.py:1124(add_url_rule)
     1366    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.027    0.027 _internal.py:10(<module>)
      837    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
      260    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
       48    0.000    0.000    0.001    0.000 sre_parse.py:266(getuntil)
      677    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      855    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      928    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      443    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      211    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      351    0.000    0.000    0.001    0.000 socket.py:76(<lambda>)
    309/3    0.000    0.000    0.339    0.113 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      211    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     1520    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.001    0.001 subprocess.py:1208(_execute_child)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      290    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       89    0.000    0.000    0.040    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
  419/395    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
      404    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      354    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      336    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      105    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      763    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      225    0.000    0.000    0.001    0.000 enum.py:20(_is_descriptor)
       89    0.000    0.000    0.001    0.000 sre_parse.py:223(__init__)
     1231    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       89    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       49    0.000    0.000    0.001    0.000 sre_compile.py:376(_mk_bitmap)
       45    0.000    0.000    0.000    0.000 enum.py:419(_get_mixins_)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      121    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       34    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
     23/6    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
   106/80    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
       56    0.000    0.000    0.001    0.000 coroutines.py:194(coroutine)
      353    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      352    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      105    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
       89    0.000    0.000    0.002    0.000 sre_parse.py:828(fix_flags)
      449    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       64    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
       51    0.000    0.000    0.000    0.000 re.py:249(escape)
        1    0.000    0.000    0.004    0.004 urls.py:17(<module>)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2143(__init__)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       17    0.000    0.000    0.000    0.000 enum.py:337(__members__)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
      526    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 __init__.py:1145(Manager)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1614(_ip_int_from_string)
      178    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
      265    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        1    0.000    0.000    0.000    0.000 urls.py:42(<listcomp>)
        9    0.000    0.000    0.001    0.000 enum.py:857(<listcomp>)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      236    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       30    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      478    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
      107    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       97    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
        1    0.000    0.000    0.000    0.000 extras.py:293(NamedTupleCursor)
      215    0.000    0.000    0.000    0.000 types.py:135(__get__)
        1    0.000    0.000    0.006    0.006 extensions.py:12(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       15    0.000    0.000    0.000    0.000 routing.py:599(__init__)
        1    0.000    0.000    0.000    0.000 locks.py:43(_ContextManagerMixin)
        5    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       30    0.000    0.000    0.001    0.000 routing.py:713(_build_regex)
       19    0.000    0.000    0.001    0.000 ipaddress.py:1460(__init__)
      255    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        3    0.000    0.000    0.000    0.000 runtime.py:279(_all)
        2    0.000    0.000    0.003    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.009    0.009 socket.py:47(<module>)
      261    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.015    0.015 cli.py:10(<module>)
        9    0.000    0.000    0.000    0.000 datetime.py:356(__new__)
       13    0.000    0.000    0.015    0.001 enum.py:604(_convert)
        1    0.000    0.000    0.007    0.007 core.py:1(<module>)
      448    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       16    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
        1    0.000    0.000    0.019    0.019 routing.py:97(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
